ligne,station,ordre,correspondance,station_norm
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation
RER A 2,Vincennes,13,,vincennes
RER A 2,Fontenay sous Bois,14,,fontenay sous bois
RER A 2,Nogent sur Marne,15,,nogent sur marne
RER A 2,Joinville le Pont,16,,joinville le pont
RER A 2,Saint-Maur – Créteil,17,,saint maur creteil
RER A 2,Le Parc de Saint-Maur,18,,le parc de saint maur
RER A 2,Champigny,19,,champigny
RER A 2,La varenne Chennevières,20,,la varenne chennevieres
RER A 2,Sucy Bonneuil,21,,sucy bonneuil
RER A 2,Boissy Saint Léger,22,,boissy saint leger
RER A 3,Saint Germain en Laye,1,,saint germain en laye
RER A 3,Le Vésinet – Le Pecq,2,,le vesinet le pecq
RER A 3,Le Vésinet – Centre,3,,le vesinet centre
RER A 3,Chatou-Croissy,4,,chatou croissy
RER A 3,Rueil Malmaison,5,,rueil malmaison
RER A 3,Nanterre Ville,6,,nanterre ville
RER A 3,Nanterre Université,7,,nanterre universite
RER A 3,Nanterre – Préfecture,8,,nanterre prefecture
RER A 3,La Défense Grande Arche,9,METRO 1,la defense grande arche
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile
RER A 3,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation
RER A 3,Vincennes,15,,vincennes
RER A 3,Fontenay sous Bois,16,,fontenay sous bois
RER A 3,Nogent sur Marne,17,,nogent sur marne
RER A 3,Joinville le Pont,18,,joinville le pont
RER A 3,Saint-Maur – Créteil,19,,saint maur creteil
RER A 3,Le Parc de Saint-Maur,20,,le parc de saint maur
RER A 3,Champigny,21,,champigny
RER A 3,La varenne Chennevières,22,,la varenne chennevieres
RER A 3,Sucy Bonneuil,23,,sucy bonneuil
RER A 3,Boissy Saint Léger,24,,boissy saint leger
RER A 4,Cergy le Haut,1,,cergy le haut
RER A 4,Cergy Saint-Christophe,2,,cergy saint christophe
RER A 4,Cergy Préfecture,3,,cergy prefecture
RER A 4,Neuville Université,4,,neuville universite
RER A 4,Conflans Fin d’Oise,5,,conflans fin d'oise
RER A 4,Achères Ville,6,,acheres ville
RER A 4,Maisons Laffitte,7,,maisons laffitte
RER A 4,Sartrouville,8,,sartrouville
RER A 4,Houilles Carrières sur Seine,9,,houilles carrieres sur seine
RER A 4,Nanterre – Préfecture,10,,nanterre prefecture
RER A 4,La Défense Grande Arche,11,METRO 1,la defense grande arche
RER A 4,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile
RER A 4,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber
RER A 4,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles
RER A 4,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon
RER A 4,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation
RER A 4,Vincennes,17,,vincennes
RER A 4,Val de Fontenay,18,RER E,val de fontenay
RER A 4,Neuilly Plaisance,19,,neuilly plaisance
RER A 4,Bry sur Marne,20,,bry sur marne
RER A 4,Noisy le Grand Mont d’Est,21,,noisy le grand mont d'est
RER A 4,Noisy Champs,22,,noisy champs
RER A 4,Noisiel,23,,noisiel
RER A 4,Lognes,24,,lognes
RER A 4,Torcy,25,,torcy
RER A 4,Bussy Saint-Georges,26,,bussy saint georges
RER A 4,Serris-Montévrain – Val d’Europe,27,,serris montevrain val d'europe
