ligne,station,ordre,correspondance,station_norm,station_key,main_line,affluence_score
RER A 5,Torcy,21,,torcy,torcy,RER A,0.31886460000000005
RER A 5,Bussy Saint-Georges,22,,bussy saint georges,bussy saint georges,RER A,0.28697814000000005
RER A 5,Serris-Montévrain – Val d’Europe,23,,serris montevrain val d'europe,serris montevrain val d'europe,RER A,0.25828032600000006
RER A 5,Marne la Vallée Chessy – Parc Disneyland,24,,marne la vallee chessy parc disneyland,marne la vallee chessy parc disneyland,RER A,0.23245229340000007
RER A 6,Saint Germain en Laye,1,,saint germain en laye,saint germain en laye,RER A,0.38742048900000015
RER A 6,Le Vésinet – Le Pecq,2,,le vesinet le pecq,le vesinet le pecq,RER A,0.43046721000000016
RER A 6,Le Vésinet – Centre,3,,le vesinet centre,le vesinet centre,RER A,0.47829690000000014
RER A 6,Chatou-Croissy,4,,chatou croissy,chatou croissy,RER A,0.5314410000000002
RER A 6,Rueil Malmaison,5,,rueil malmaison,rueil malmaison,RER A,0.5904900000000002
RER A 6,Nanterre Ville,6,,nanterre ville,nanterre ville,RER A,0.6561000000000001
RER A 6,Nanterre Université,7,,nanterre universite,nanterre universite,RER A,0.7290000000000001
RER A 6,Nanterre – Préfecture,8,,nanterre prefecture,nanterre prefecture,RER A,0.81
RER A 6,La Défense Grande Arche,9,METRO 1,la defense grande arche,la defense,RER A,0.9
RER A 6,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,RER A,0.82
RER A 6,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,RER A,0.738
RER A 6,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,RER A,0.95
RER A 6,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,RER A,0.98
RER A 6,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,RER A,0.82
RER A 6,Vincennes,15,,vincennes,vincennes,RER A,0.6
RER A 6,Val de Fontenay,16,RER E,val de fontenay,val de fontenay,RER A,0.6
RER A 6,Neuilly Plaisance,17,,neuilly plaisance,neuilly plaisance,RER A,0.6
RER A 6,Bry sur Marne,18,,bry sur marne,bry sur marne,RER A,0.54
RER A 6,Noisy le Grand Mont d’Est,19,,noisy le grand mont d'est,noisy le grand mont d'est,RER A,0.48600000000000004
RER A 6,Noisy Champs,20,,noisy champs,noisy champs,RER A,0.43740000000000007
RER A 6,Noisiel,21,,noisiel,noisiel,RER A,0.39366000000000007
RER A 6,Lognes,22,,lognes,lognes,RER A,0.35429400000000005
RER A 6,Torcy,23,,torcy,torcy,RER A,0.31886460000000005
RER A 6,Bussy Saint-Georges,24,,bussy saint georges,bussy saint georges,RER A,0.28697814000000005
RER A 6,Serris-Montévrain – Val d’Europe,25,,serris montevrain val d'europe,serris montevrain val d'europe,RER A,0.25828032600000006
RER A 6,Marne la Vallée Chessy – Parc Disneyland,26,,marne la vallee chessy parc disneyland,marne la vallee chessy parc disneyland,RER A,0.23245229340000007
RER B 1,Aéroport Charles de Gaulle 2 TGV,1,,aeroport charles de gaulle 2 tgv,aeroport charles de gaulle 2 tgv,RER B,0.25828032600000006
RER B 1,Aéroport Charles de Gaulle 1,2,,aeroport charles de gaulle 1,aeroport charles de gaulle 1,RER B,0.28697814000000005
RER B 1,Parc des expositions,3,,parc des expositions,parc des expositions,RER B,0.31886460000000005
RER B 1,Villepinte,4,,villepinte,villepinte,RER B,0.35429400000000005
RER B 1,Sevran Beaudottes,5,,sevran beaudottes,sevran beaudottes,RER B,0.39366000000000007
RER B 1,Aulnay sous Bois,6,,aulnay sous bois,aulnay sous bois,RER B,0.43740000000000007
RER B 1,Le Blanc Mesnil,7,,le blanc mesnil,le blanc mesnil,RER B,0.48600000000000004
RER B 1,Drancy,8,,drancy,drancy,RER B,0.54
RER B 1,Le Bourget,9,,le bourget,le bourget,RER B,0.54
RER B 1,La Courneuve Aubervilliers,10,,la courneuve aubervilliers,la courneuve aubervilliers,RER B,0.48600000000000004
RER B 1,La Plaine – Stade de France – Saint Denis – Aubervilliers,11,,la plaine stade de france saint denis aubervilliers,la plaine stade de france saint denis aubervilliers,RER B,0.43740000000000007
RER B 1,Paris Nord,12,"RER D, RER E, METRO 2, METRO 4, METRO 5",paris nord,gare du nord,RER B,1.0
RER B 1,Châtelet – Les Halles,13,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14",chatelet les halles,chatelet,RER B,0.95
RER B 1,Saint-Michel Notre Dame,14,"RER C, METRO 10",saint michel notre dame,saint michel,RER B,0.63
RER B 1,Luxembourg Sénat,15,,luxembourg senat,luxembourg senat,RER B,0.5670000000000001
RER B 1,Port Royal,16,,port royal,port royal,RER B,0.5103000000000001
RER B 1,Denfert Rochereau – Colonel Rol-Tanguy,17,"METRO 4, METRO 6",denfert rochereau colonel rol tanguy,denfert rochereau colonel rol tanguy,RER B,0.75
RER B 1,Cité Universitaire,18,,cite universitaire,cite universitaire,RER B,0.675
RER B 1,Gentilly,19,,gentilly,gentilly,RER B,0.6075
RER B 1,Laplace – Maison des Examens,20,,laplace maison des examens,laplace maison des examens,RER B,0.5467500000000001
RER B 1,Arcueil Cachan,21,,arcueil cachan,arcueil cachan,RER B,0.4920750000000001
RER B 1,Bagneux,22,,bagneux,bagneux,RER B,0.54
RER B 1,Bourg la Reine,23,,bourg la reine,bourg la reine,RER B,0.48600000000000004
RER B 1,Sceaux,24,,sceaux,sceaux,RER B,0.43740000000000007
RER B 1,Fontenay aux Roses,25,,fontenay aux roses,fontenay aux roses,RER B,0.54
RER B 1,Robinson,26,,robinson,robinson,RER B,0.48600000000000004
RER B 2,Mitry Claye,1,,mitry claye,mitry claye,RER B,0.28697814000000005
