gare_key,nom_so_gar,latitude,longitude
rue saint maur,Rue Saint-Maur,48.864285758645295,2.379741893177554
porte de versailles,Porte de Versailles,48.832676871877865,2.288069457597242
saint lazare,Saint-Lazare,48.87515128791023,2.324380555428912
gare de l'est,Gare de l'Est,48.8759910648072,2.357880771925327
montparnasse bienvenue,Montparnasse-Bienvenüe,48.842102207208605,2.321278562744628
funiculaire montmartre station haute,Funiculaire Montmartre Station Haute,48.88566111270151,2.3425496532584886
pont de neuilly,Pont de Neuilly,48.88470820133096,2.260515079251701
duroc,Duroc,48.84698910613954,2.3170052357372453
fort d'aubervilliers,Fort d'Aubervilliers,48.91494975727623,2.4044090887818643
malesherbes,Malesherbes,48.88289191745414,2.309052264550479
porte dauphine,Porte Dauphine,48.87146657813589,2.2770830184157247
porte de la villette,Porte de la Villette,48.89738989158187,2.385508387668673
trinite d'estienne d'orves,Trinité d'Estienne d'Orves,48.87633026495961,2.333108893760544
tuileries,Tuileries,48.86434377873392,2.330129877112862
porte d'ivry,Porte d'Ivry,48.82182955806905,2.370053603529677
villejuif louis aragon,Villejuif-Louis Aragon,48.78728035004914,2.366988444947912
saint denis porte de paris,Saint-Denis - Porte de Paris,48.92981642738063,2.3572920708824574
porte de la chapelle,Porte de la Chapelle,48.89839212567743,2.358375469325785
bibliotheque francois mitterrand,Bibliothèque François Mitterrand,48.82999019989919,2.375747983215603
gare d'austerlitz,Gare d'Austerlitz,48.842436797924776,2.365184811993381
georges brassens,Georges Brassens,48.82982637901668,2.2956619828222946
didot,Didot,48.82592054697146,2.313380087366044
hotel de ville de bobigny,Hôtel de Ville de Bobigny,48.90653655905889,2.443992334554138
l'abbaye,L'Abbaye,48.92180470451735,2.516333391307286
pont de bondy,Pont de Bondy,48.90470320378033,2.4699715449785766
suresnes longchamp,Suresnes-Longchamp,48.86823878484656,2.221410602618016
villetaneuse universite,Villetaneuse-Université,48.95931814416915,2.3420538013870744
le village,Le Village,48.93335538222905,2.294602989386074
faubourg de l'arche,Faubourg de l'Arche,48.89666439721808,2.2400792520382726
parc pierre lagravere,Parc Pierre Lagravère,48.9175149075793,2.224812188878315
baron le roy,Baron Le Roy,48.83038859059281,2.393449698306368
porte d'aubervilliers,Porte d'Aubervilliers,48.89860117217837,2.3690369493169228
domaine cherioux,Domaine Chérioux,48.77893639308641,2.367405864497285
moulin vert,Moulin Vert,48.7720742166394,2.367815001629962
porte de thiais,Porte de Thiais,48.75957353526184,2.366398000043218
robert wagner,Robert Wagner,48.78512141332816,2.178798590270474
inovel parc nord,Inovel Parc Nord,48.78140432088545,2.209129227294876
mairie de velizy,Mairie de Vélizy,48.78045471153042,2.1914099192732954
paul eluard,Paul Éluard,48.93968870865854,2.345207505927952
clichy sous bois mairie,Clichy-sous-Bois Mairie,48.90786847959308,2.5463803994280108
trois communes,Trois communes,48.77298814363423,2.399359618612088
rouget de lisle,Rouget de Lisle,48.76391487107731,2.405808944037218
cimetiere de saint denis,Cimetière de Saint-Denis,48.936389147061696,2.3636407021979244
escadrille normandie niemen,Escadrille Normandie-Niémen,48.91270497529589,2.435420992985438
suzanne lenglen,Suzanne Lenglen,48.83331427148139,2.2768549764108004
petit pierrefitte,Petit Pierrefitte,48.952680187232,2.357983075325655
hotel de ville de la courneuve,Hôtel de Ville de La Courneuve,48.92740289165738,2.3924711193168307
maurice lachatre,Maurice Lachâtre,48.91917902772585,2.41383718095636
caroline aigle,Caroline Aigle,48.738603872058455,2.369907789255685
velizy 2,Vélizy 2,48.78496976326487,2.220009516856533
villetaneuse universite,Villetaneuse - Université,48.96000579243069,2.3423685974925013
pierrefitte stains,Pierrefitte Stains,48.96013454228842,2.3672565834726305
la briqueterie,La Briqueterie,48.80721433286051,2.374911599354834
bondy,Bondy,48.89395181173609,2.480205915260598
asnieres sur seine,Asnières-sur-Seine,48.90598139395308,2.283199280222817
ermont halte,Ermont-Halte,48.990313583902434,2.2632853539998323
pont sur yonne,Pont-sur-Yonne,48.28627700972752,3.2017673450549218
liancourt saint pierre,Liancourt-Saint-Pierre,49.22067083172213,1.9054853050824927
lavilletertre,Lavilletertre,49.20229110525427,1.9206110857457552
la ferte milon,La Ferté-Milon,49.17961925767545,3.1206923972407514
chateau landon,Château-Landon,48.87844430039445,2.3619653022299603
fontaine le port,Fontaine-le-Port,48.48737309459969,2.750483097368812
chaumont en vexin,Chaumont-en-Vexin,49.26119849697099,1.873097212586157
