ligne,station,ordre,correspondance,station_norm,station_key,latitude,longitude
RER A 3,La varenne Chennevières,22,,la varenne chennevieres,la varenne chennevieres,48.79538383561484,2.513423298184714
RER A 3,Sucy Bonneuil,23,,sucy bonneuil,sucy bonneuil,48.77170790696432,2.507482645714313
RER A 3,Boissy Saint Léger,24,,boissy saint leger,boissy saint leger,48.75218572078873,2.504559838342837
RER A 4,Cergy le Haut,1,,cergy le haut,cergy le haut,49.04787620336899,2.0109997600036325
RER A 4,Cergy Saint-Christophe,2,,cergy saint christophe,cergy saint christophe,49.049647005256354,2.034294461852662
RER A 4,Cergy Préfecture,3,,cergy prefecture,cergy prefecture,49.036463980725365,2.079534939997373
RER A 4,Neuville Université,4,,neuville universite,neuville universite,49.01413368498304,2.078306591409993
RER A 4,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,48.99033259105296,2.073955308732424
RER A 4,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,48.99033252838146,2.0739471888196928
RER A 4,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,48.99195703589888,2.0753904501601403
RER A 4,Achères Ville,6,,acheres ville,acheres ville,48.97066504832262,2.0777317645655984
RER A 4,Maisons Laffitte,7,,maisons laffitte,maisons laffitte,48.94550297190666,2.1450174376542583
RER A 4,Sartrouville,8,,sartrouville,sartrouville,48.93773606341459,2.1570864964698178
RER A 4,Houilles Carrières sur Seine,9,,houilles carrieres sur seine,houilles carrieres sur seine,48.92037937392436,2.185353376302864
RER A 4,Nanterre – Préfecture,10,,nanterre prefecture,nanterre prefecture,48.89574531120744,2.2232129684066617
RER A 4,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.89218707644951,2.237018056395014
RER A 4,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.8921233638325,2.237213536457713
RER A 4,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.89286497052017,2.2395681712170497
RER A 4,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.89168813894621,2.238595217338472
RER A 4,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87481054112289,2.2958012223518693
