ligne,station,ordre,correspondance
RER A 4,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E"
RER A 4,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D"
RER A 4,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D"
RER A 4,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9"
RER A 4,Vincennes,17,
RER A 4,Val de Fontenay,18,RER E
RER A 4,Neuilly Plaisance,19,
RER A 4,Bry sur Marne,20,
RER A 4,Noisy le Grand Mont d’Est,21,
RER A 4,Noisy Champs,22,
RER A 4,Noisiel,23,
RER A 4,Lognes,24,
RER A 4,Torcy,25,
RER A 4,Bussy Saint-Georges,26,
RER A 4,Serris-Montévrain – Val d’Europe,27,
RER A 4,Marne la Vallée Chessy – Parc Disneyland,28,
RER A 5,Poissy,1,
RER A 5,Achères Grand Cormier,2,
RER A 5,Maisons Laffitte,3,
RER A 5,Sartrouville,4,
RER A 5,Houilles Carrières sur Seine,5,
RER A 5,Nanterre – Préfecture,6,
RER A 5,La Défense Grande Arche,7,METRO 1
RER A 5,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6"
RER A 5,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E"
RER A 5,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D"
RER A 5,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D"
RER A 5,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9"
RER A 5,Vincennes,13,
RER A 5,Val de Fontenay,14,RER E
RER A 5,Neuilly Plaisance,15,
RER A 5,Bry sur Marne,16,
RER A 5,Noisy le Grand Mont d’Est,17,
RER A 5,Noisy Champs,18,
RER A 5,Noisiel,19,
RER A 5,Lognes,20,
RER A 5,Torcy,21,
RER A 5,Bussy Saint-Georges,22,
RER A 5,Serris-Montévrain – Val d’Europe,23,
RER A 5,Marne la Vallée Chessy – Parc Disneyland,24,
RER A 6,Saint Germain en Laye,1,
RER A 6,Le Vésinet – Le Pecq,2,
RER A 6,Le Vésinet – Centre,3,
RER A 6,Chatou-Croissy,4,
RER A 6,Rueil Malmaison,5,
RER A 6,Nanterre Ville,6,
RER A 6,Nanterre Université,7,
RER A 6,Nanterre – Préfecture,8,
RER A 6,La Défense Grande Arche,9,METRO 1
RER A 6,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6"
RER A 6,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E"
RER A 6,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D"
RER A 6,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D"
RER A 6,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9"
RER A 6,Vincennes,15,
RER A 6,Val de Fontenay,16,RER E
RER A 6,Neuilly Plaisance,17,
RER A 6,Bry sur Marne,18,
RER A 6,Noisy le Grand Mont d’Est,19,
RER A 6,Noisy Champs,20,
RER A 6,Noisiel,21,
RER A 6,Lognes,22,
RER A 6,Torcy,23,
RER A 6,Bussy Saint-Georges,24,
RER A 6,Serris-Montévrain – Val d’Europe,25,
RER A 6,Marne la Vallée Chessy – Parc Disneyland,26,
RER B 1,Aéroport Charles de Gaulle 2 TGV,1,
RER B 1,Aéroport Charles de Gaulle 1,2,
RER B 1,Parc des expositions,3,
RER B 1,Villepinte,4,
RER B 1,Sevran Beaudottes,5,
RER B 1,Aulnay sous Bois,6,
RER B 1,Le Blanc Mesnil,7,
RER B 1,Drancy,8,
RER B 1,Le Bourget,9,
RER B 1,La Courneuve Aubervilliers,10,
RER B 1,La Plaine – Stade de France – Saint Denis – Aubervilliers,11,
RER B 1,Paris Nord,12,"RER D, RER E, METRO 2, METRO 4, METRO 5"
RER B 1,Châtelet – Les Halles,13,"RER A, RER D, METRO 1, METRO 4, METRO 7, METRO 11, METRO 14"
RER B 1,Saint-Michel Notre Dame,14,"RER C, METRO 10"
RER B 1,Luxembourg Sénat,15,
